                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.007,                 0.4732,                  1.014,                0.87124,                0.87139,                0.88674,                0.60762,                 1.0851,                0.56994,                 1.0547,             0.00065091,             0.00065091,             0.00065091
                     36,                 1.0101,                0.47418,                 1.0131,                0.87128,                0.84932,                0.87784,                0.60198,                 1.0895,                0.57467,                 1.0523,             0.00062733,             0.00062733,             0.00062733
                     37,                 1.0021,                0.46952,                 1.0121,                0.88083,                0.87772,                0.89417,                0.61688,                 1.0642,                 0.5554,                 1.0447,             0.00060375,             0.00060375,             0.00060375
                     38,                0.99331,                0.46506,                 1.0102,                0.88485,                0.86739,                0.88889,                0.61201,                 1.0783,                0.56671,                 1.0612,             0.00058017,             0.00058017,             0.00058017
                     39,                  0.989,                0.46244,                  1.007,                0.89163,                0.87105,                0.89157,                0.61552,                 1.0833,                 0.5698,                 1.0573,              0.0005566,              0.0005566,              0.0005566
                     40,                0.98616,                0.45916,                 1.0063,                0.88779,                0.87957,                0.89857,                 0.6294,                  1.073,                0.56643,                 1.0537,             0.00053302,             0.00053302,             0.00053302
                     41,                0.97793,                0.45611,                 1.0003,                0.88025,                0.88109,                0.89401,                0.62313,                 1.0732,                0.56598,                 1.0533,             0.00050944,             0.00050944,             0.00050944
                     42,                0.98293,                0.45666,                 1.0041,                0.90326,                0.88985,                 0.9065,                0.63685,                 1.0499,                0.53911,                 1.0395,             0.00048586,             0.00048586,             0.00048586
                     43,                0.97013,                0.44854,                 0.9992,                0.89969,                0.89214,                  0.904,                0.63338,                 1.0548,                0.54192,                 1.0451,             0.00046228,             0.00046228,             0.00046228
                     44,                0.96757,                0.44992,                0.99621,                0.89597,                0.89901,                0.90224,                0.63562,                 1.0479,                0.54403,                 1.0402,              0.0004387,              0.0004387,              0.0004387
                     45,                0.96319,                 0.4447,                0.99389,                0.90117,                0.88843,                0.90152,                0.64137,                 1.0491,                0.53363,                 1.0432,             0.00041512,             0.00041512,             0.00041512
                     46,                  0.959,                 0.4407,                0.99388,                0.87893,                0.89589,                0.90446,                0.64423,                 1.0477,                0.54226,                 1.0423,             0.00039155,             0.00039155,             0.00039155
                     47,                0.95202,                0.43923,                0.99215,                0.89427,                0.88219,                 0.9029,                0.63964,                 1.0407,                0.54543,                  1.039,             0.00036797,             0.00036797,             0.00036797
                     48,                 0.9502,                0.43584,                0.98619,                0.90344,                 0.8825,                0.90532,                0.64685,                 1.0368,                0.54477,                 1.0372,             0.00034439,             0.00034439,             0.00034439
                     49,                0.94986,                0.43619,                0.99002,                0.90396,                0.89871,                0.90697,                0.64755,                 1.0362,                0.53117,                 1.0358,             0.00032081,             0.00032081,             0.00032081
                     50,                 0.9422,                0.43132,                 0.9852,                0.90606,                0.89437,                0.90636,                0.64734,                 1.0465,                0.54038,                 1.0439,             0.00029723,             0.00029723,             0.00029723
                     51,                0.89602,                0.37748,                0.97913,                0.90291,                0.89284,                 0.9095,                0.65346,                 1.0372,                0.53097,                 1.0428,             0.00027365,             0.00027365,             0.00027365
                     52,                0.88069,                0.36882,                0.97227,                0.90151,                0.90034,                0.91372,                0.65703,                 1.0297,                0.52161,                  1.035,             0.00025007,             0.00025007,             0.00025007
                     53,                0.87415,                0.36566,                0.97228,                0.91214,                0.89847,                0.90993,                0.66041,                 1.0297,                0.51866,                 1.0339,              0.0002265,              0.0002265,              0.0002265
                     54,                0.87027,                0.36193,                0.96949,                0.90713,                0.90207,                0.91304,                0.66512,                  1.023,                 0.5179,                 1.0311,             0.00020292,             0.00020292,             0.00020292
                     55,                0.86231,                0.35917,                0.96472,                0.91549,                0.90684,                0.91616,                0.66563,                 1.0206,                0.51748,                 1.0284,             0.00017934,             0.00017934,             0.00017934
                     56,                0.85654,                0.35553,                0.96374,                0.91682,                0.90645,                0.91781,                0.66935,                 1.0159,                0.51306,                 1.0264,             0.00015576,             0.00015576,             0.00015576
                     57,                 0.8563,                0.35638,                 0.9629,                0.92185,                0.90366,                0.91892,                0.67174,                 1.0133,                0.51057,                 1.0238,             0.00013218,             0.00013218,             0.00013218
                     58,                0.84776,                0.35141,                0.95959,                0.92562,                 0.9068,                0.92125,                0.67383,                 1.0126,                0.50619,                 1.0202,              0.0001086,              0.0001086,              0.0001086
                     59,                0.84403,                0.35034,                0.95862,                0.92231,                0.91198,                0.92075,                0.67664,                 1.0148,                0.50441,                 1.0256,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     60,                0.84222,                0.34672,                0.95581,                0.92159,                0.91503,                0.92241,                0.67625,                 1.0118,                0.50314,                  1.024,             6.1447e-05,             6.1447e-05,             6.1447e-05
